package_name,aaid,aid,geo,router_ssid,wifi_mac,router_mac,imei,hwid,phone,email,real_name,package_dump,simid,gsfid
com.gameloft.android.ANMP.GloftMOHM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftPOHM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftR7HM,0,0,0,0,0,0,0,1,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftSIHM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gameone.colorhockey.free,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gameone.jabbersuperjump,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gameone.jabbersuperjump2.free,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gameparadiso.milkchoco,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gameresort.stupidzombies,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gamestar.perfectpiano,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gamestar.pianoperfect,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gamevil.kritikamobile.android.google.global.normal,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gamevil.monster.global,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gamoper.magiccandy.free,1,1,0,0,1,0,1,0,0,0,0,0,0,0
com.garanti.cepsubesi,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gathercultivatecountry.attack,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.gowidget.taskmanagerex,0,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.gowidget.weatherwidget,1,1,1,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.Aroma.free,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.Lion.free,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.Musiclife.flower,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.Quality,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.RockGraffiti.hd,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.Tonight.flower,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.bestlauncherforandroid2017,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.butterflylaunche,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.butterflytheme,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.colorbubbleslauncher,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.darkonii.free,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.eternally.zt.free,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.filter.dante,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.free2017goldlauncher,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.glass.free,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.graceful.free,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.highlife,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.launcherforandro,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gau.go.launcherex.theme.launcherfortable,1,0,0,0,0,0,0,0,0,0,0,0,0,0
